,Correct,OptionA,OptionB,OptionC,OptionD,Questions,Category
0,: B, V, X, U, T, कौनसा अक्षर अंग्रेजी वर्णमाला के दूसरे अर्द्धांश के तीसरे अक्षर के दायें को 8वाँ होगा ?  ,2.9
1,: B, V, L, U, M," अगर अंग्रेजी वर्णमाला के क्रम को पलट दिया जाऐ, तो नयी बनी व्‍यवस्‍था में कौनसा अक्षर दायें से दूसरे स्‍वर के बायें को 7 अक्षर होगा ?  ",2.9
2,: D, E, C, D, U," अगर निम्‍नलिखित व्‍यवस्‍थ्‍ाा में से सभी A हटा दिए जाए, तो निम्‍नलिखित व्‍यवस्‍था में कौनसा अक्षर अन्तिम बाऐं के 11वां होगा –  C U B A E D E D A B E B A U C D B C A D B D U B C A C B E D A  ",2.9
3,: C, LBT,IJF,PID,SPA, नीचे दिए गऐ समूहों में चार में से तीन निम्‍न अक्षर व्‍यवस्‍था के अनुसार किसी निश्चित रूप से समान है। कौनसा एक समूह से सम्‍बन्‍ध नहीं रखता है ?  C L R T B Q S M A P D I N F J K G Y X  1. LBT 2. SPA 3.IJF 4. PID  ,2.9
4,: C, Donkey,Donative,Donator,Donjon," अगर निम्‍नलिखित शब्‍दों को अंग्रेजी शब्‍दकोष के अनुसार व्‍यवस्थित किया जाए, तो कौनसा अक्षर दूसरे स्‍थान पर आएगा ?  Donative, Donator, Donjon, Donkey  ",2.9
5,: B,  CAR और LAP दोनों,  LAP और BUT दोनों,  HID,  SON," अगर प्रथम एवं तृतीय अक्षर की स्थिति आपस में बदल दी जाए तो, निम्‍न में से नयी व्‍यवस्‍था में कौन अर्थपूर्ण शब्‍द बनेगा ?  LAP BUT CAR SON HID  ",2.9
6,: B,  I,  S,  T,  N," यदि शब्‍द ‘DISTURBANCE’ का प्रथमाक्षर, अन्तिम अक्षर से परस्‍पर बदल जाये, दूसरा अक्षर 10वें से बदल जाऐ और आगे भी ऐसा ही हो, तो नये बने प्रारूप में कौनसा T के बाद आएगा ?  ",2.9
7,: D,3,5,4,2," शब्‍द ‘HEARTLESS’ के अक्षरों में बिना फेरबदल किए, और प्रत्‍येक अक्षर का एक बार प्रयोग करते हुए कितने स्‍वतंत्र अर्थपूर्ण शब्‍द बनाये जा सकते है ?  ",2.9
8,: D,  @,9,3,  D," यदि निम्‍नलिखित व्‍यवस्‍था में से सभी स्‍वरों को छोड़ दिया जाऐ, तो कौनसा दी गई व्‍यवस्‍था में बायें से 12वाँ होगा ?  A E C B % 7 D $ E B 5 C ? 3 D E 9 @ 2 #  ",2.9
9,: D,  College,  Collotype,  Colon,  Collective, निम्‍नलिखित शब्‍दों को शब्‍दकोष के वर्णमाला क्रमानुसार व्‍यवस्थित करने पर कौनसा पहला शब्‍द होगा ?  ,2.9
10,: C,  CMN,  IJT,  VIJ,  UTI," इस श्रृंखला में आप अक्षरों का एक निश्चित स्‍वरूप देखते है, इस श्रृंखला के मध्‍य रिक्‍त स्‍थान की पूर्ति कीजिए –  SCD, TEF, UGH, ____, WKL  ",2.9
11,: D,  L,  D,  O,  इनमें से कोई नहीं," यदि शब्‍द ‘DOLPHIN’ के अक्षरों को वर्णमाला क्रमानुसार व्‍यवस्थित किया जाए, तो व्‍यवस्‍था के बाद कौनसा अक्षर बायें से पाँचवा होगा ?  ",2.9
12,: D,  E,  G,  H,  T," यदि शब्‍द ‘SELFRIGHTEOUSNESS’ के अक्षरों की स्थिति को पलट दिया जाऐ, तो कौनसा अक्षर अपनी स्थिति पर यथावत बना रहेगा ?  ",2.9
13,: C,  एक,  कोई नहीं,  दो,  तीन," शब्‍द ‘PRESENTMENT’ के कितने अक्षरों के मध्‍य उतने ही अक्षर है, जितने कि अंग्रेजी वर्णमाला में उनके मध्‍य होते हैं ?  ",2.9
14,: A,4,2,1,8," यदि प्रत्‍येक संख्‍या से एक घटाया जाये, तो निम्‍न में से कौनसा दायें से दसवें के दायें चौथा होगा ?  Q 2 3 B 9 V 5 L S R F P  ",2.9
15,: D,  दो,  कोई नहीं,  एक,  तीन, शब्‍द CORPORATE के कितने अक्षरों के मध्‍य उतने ही अक्षर है जितने कि अंग्रेजी वर्णमाला क्रम में व्‍यवस्थित किये जाने पर उनके मध्‍य होते है ?  ,2.9
16,: A,  A,  I,  L,  H," यदि शब्‍द ‘ANNIHILATION’ का पहला एवं तीसरा अक्षर आपस में बदल जाऐ, दूसरा एवं चौथा भी, पाँचवा एवं सातवाँ भी एवं आगे भी इसी तरह बदल जाऐ तो कौनसा अक्षर बायें से छठा होगा ?  ",2.9
17,: D,  एक,  तीन,  दो,  चार," शब्‍द ‘DETERMINATION’ के अक्षरों में बिना फेरबदल किए एवं प्रत्‍येक अक्षर का केवल एक बार प्रयोग करते हुऐ कितने स्‍वतंत्र, अर्थपूर्ण शब्‍द बनाये जा सकते है ?  ",2.9
18,: A,2,1,4,3, शब्‍द ‘BEHIND’ के अक्षरों में बिना फेरबदल किए और प्रत्‍येक अक्षर का केवल एक बार प्रयोग करते हुऐ कितने स्‍वतंत्र अर्थपूर्ण शब्‍द बनाऐ जा सकते है ?  ,2.9
19,: B,2,3,1,4, शब्‍द ‘STAINLESS’ के अक्षरों में बिना फेरबदल किए और प्रत्‍येक अक्षर का एक बार प्रयोग करते हुऐ कितने अर्थपूर्ण स्‍वतंत्र शब्‍द बनाये जा सकते है ?  ,2.9
20,: C,  V,  X,  U,  T, कौनसा अक्षर अंग्रेजी वर्णमाला के दूसरे अर्द्धांश के तीसरे अक्षर के दायें को पाँचवा होगा ?  A B C D E F G H I J K L M N O P Q R S T U V W X Y Z  ,2.9
21,: D,  T,  S,  E,  I, अगर शब्‍द VITREOUS के सभी व्‍यंजनों को पहले वर्णमाला क्रमानुसार व्‍यवस्थित किया जाए और तब सभी स्‍वरों को भी वर्णमाला क्रमानुसार व्‍यवस्थित किया जाए तो कौनसा अक्षर बायें से चौथे के दायें दूसरा होगा ?  ,2.9
22,: D,  I,  X,  H,  W, A B C D E F G H I J K L M N O P Q R S T U V W X Y Z. उपरोक्‍त वर्णमाला के अनुसार कौनसा अक्षर अन्तिम अक्षर एक के बाऐं 10वें के दायें 8वाँ होगा ?  ,2.9
23,: C,  A,  G,  इनमें से कोई नहीं,  J, यदि अंग्रेजी वर्णमाला का प्रथम अर्द्धांश उल्‍टा कर दिया जाए तो कौनसा अक्षर दायें 14 के बायें 8वाँ अक्षर होगा ?  A B C D E F G H I J K L M N O P Q R S T U V W X Y Z  ,2.9
24,: A,  तीन,  दो,  एक,  तीन से अधिक," निम्‍नलिखित अनुक्रम में ऐसे कितने ‘A’ है, जो ‘B’ के तुरन्‍त पहले एवं ‘Z’ के बाद आते हैं ?  A M B Z A N A A B Z A B A Z B A P Z A B A Z A B  ",2.9
25,: B,  S,  L,  E,  X," यदि शब्‍द “SUPERFLUOUS” के पहले, चौथे, सातवें एवं ग्‍यारवें अक्षरों से कोई अर्थपूर्ण शब्‍द बनाना संभव हो, तो उस शब्‍द का प्रथम अक्षर अन्‍यथा X उत्तर होगा –  ",2.9
26,: B,  R,  P,  O,  S," यदि शब्‍द ‘DEPRESSION’ के पहले एवं दूसरे अक्षरों को आपस में बदल दिया जाऐ, तीसरे एवं चौथे अक्षरों को भी आपस में बदल दिया जाऐ, पाँचवें एवं छठे अक्षरों को भी आपस में बदल दिया जाऐ और आगे भी ऐसा ही हो, तो कौनसा अक्षर दायें से 7वां होगा ?  ",2.9
27,: B,  Y,  W,  D,  Z," अगर पाँच अक्षरों ‘NWROD’ के केवल एक बार प्रयोग किए जाने से कोई अर्थपूर्ण शब्‍द बन सकता है, तो इस शब्‍द का चौथा अक्षर आपका उत्तर होगा। अगर एक से अधिक ऐसे शब्‍द बन सकते है तो आपका उत्तर ‘Y’ होगा, और कोई भी अर्थपूर्ण शब्‍द नहीं बन सके तो आपका उत्तर ‘Z’ होगा।  ",2.9
28,: C,  F,  O,  T,  I," यदि शब्‍द ‘MISFORTUNE’ का पहला – दूसरा अक्षर आपस में बदल जाऐं, तीसरा एवं चौथ भी, एवं पाँचवा व छठा अक्षर भी आपस में बदल जाऐं और आगे भी ऐसा ही हो, तो नयी व्‍यवस्‍था का कौनसा अक्षर आपके बायें से आठवाँ होगा ?  ",2.9
