sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,,,,,,
1,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(01).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(01).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
2,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(02).png,inorganic_chem_JEE,11.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
3,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(03).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
4,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(04).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,topic_name,code
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(05).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,periodic table,1
6,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(06).png,inorganic_chem_JEE,11.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,periodic properties,2
7,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(07).png,inorganic_chem_JEE,11.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
8,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(08).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(09).png,inorganic_chem_JEE,11.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
10,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(10).png,inorganic_chem_JEE,11.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
11,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(11).png,inorganic_chem_JEE,11.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
12,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(12).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
13,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(13).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
14,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(14).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
15,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(15).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
16,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(16).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(16).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
17,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(17).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(17).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
18,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(18).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(18).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
19,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(19).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(19).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
20,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(20).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(20).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
21,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(21).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(21).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
22,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(22).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(22).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
23,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(23).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(23).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
24,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(24).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(24).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
25,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(25).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(25).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
26,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(26).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(26).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
27,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(27).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(27).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
28,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(28).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(28).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
29,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(29).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(29).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
30,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(30).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(30).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
31,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(31).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(31).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
32,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(32).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(32).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
33,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(33).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(33).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
34,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(34).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(34).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
35,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(35).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(35).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
36,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(36).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(36).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
37,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(37).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(37).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
38,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(38).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(38).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
39,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(39).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(39).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
40,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(40).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(40).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
41,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(41).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(41).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
42,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(42).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(42).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
43,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(43).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(43).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
44,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(44).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(44).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
45,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(45).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(45).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
46,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(46).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(46).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
47,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(47).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(47).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
48,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(48).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(48).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
49,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(49).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(49).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
50,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(50).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(50).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
51,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(51).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(51).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
52,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(52).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(52).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
53,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(53).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(53).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
54,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(54).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(54).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
55,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(55).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(55).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
56,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(56).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(56).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
57,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(57).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(57).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
58,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(58).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(58).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
59,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(59).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(59).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
60,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(60).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(60).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
61,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(61).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(61).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
62,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(62).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(62).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
63,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(63).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(63).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
64,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(64).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(64).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
65,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(65).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(65).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
66,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(66).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(66).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
67,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(67).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(67).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
68,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(68).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(68).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
69,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(69).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(69).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
70,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(70).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(70).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
71,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(71).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(71).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
72,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(72).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(72).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
73,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(73).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(73).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
74,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(74).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(74).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
75,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(75).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(75).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
76,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(76).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(76).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
77,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(77).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(77).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
78,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(78).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(78).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
79,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(01).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(01).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
80,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(02).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
81,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(03).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
82,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(04).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
83,c,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(05).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
84,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(06).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
85,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(07).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
86,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(08).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
87,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(09).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
88,d,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(10).png,inorganic_chem_JEE,11.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
89,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(11).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
90,a,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(12).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
91,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(13).png,inorganic_chem_JEE,11.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
92,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(14).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
93,b,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/2(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/2(15).png,inorganic_chem_JEE,11.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Periodic Clasifications Of Elements,,,,,,
