sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/TOYTM96.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
2,b,https://i.imgur.com/u9N1oFR.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
3,a,https://i.imgur.com/XFdyYrW.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
4,a,https://i.imgur.com/hgIm8iK.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
5,d,https://i.imgur.com/crbKPZR.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
6,d,https://i.imgur.com/tH6E0cl.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
7,b,https://i.imgur.com/CkgNlXy.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
8,a,https://i.imgur.com/hPgUks2.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
9,b,https://i.imgur.com/K8h6wqs.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
10,c,https://i.imgur.com/TrHFoX3.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
12,d,https://i.imgur.com/b2gqEfs.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
13,c,https://i.imgur.com/2xqfv0U.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
14,a,https://i.imgur.com/SwuXvR0.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
15,d,https://i.imgur.com/keRqia8.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
16,d,https://i.imgur.com/DJh5cLM.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
17,a,https://i.imgur.com/Jgv2UMu.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
18,c,https://i.imgur.com/mW9vAeN.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
19,d,https://i.imgur.com/jipi0yF.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
20,a,https://i.imgur.com/SkBaxji.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
21,a,https://i.imgur.com/5cHzStg.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
22,a,https://i.imgur.com/9fecYp4.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
23,b,https://i.imgur.com/JuMLnzp.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
24,a,https://i.imgur.com/DXHBoKm.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
25,b,https://i.imgur.com/fbgrYjm.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
26,d,https://i.imgur.com/R9Gg4mn.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
27,d,https://i.imgur.com/1zQnnCl.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
28,c,https://i.imgur.com/4lQjeXt.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
29,d,https://i.imgur.com/KZj0EMj.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
31,c,https://i.imgur.com/mTO7F4o.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
32,b,https://i.imgur.com/PUxnjKN.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
33,c,https://i.imgur.com/vbQDia4.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
34,d,https://i.imgur.com/huJsqa8.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
35,a,https://i.imgur.com/1P6KJjP.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
36,d,https://i.imgur.com/dbr9b1j.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
37,c,https://i.imgur.com/cBH95mE.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
38,a,https://i.imgur.com/9Aiw8j1.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
39,a,https://i.imgur.com/gaGAE2R.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
40,b,https://i.imgur.com/4kg8tbc.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
41,c,https://i.imgur.com/07Ie7ku.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
42,c,https://i.imgur.com/YC7X6Mg.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
69,c,https://i.imgur.com/uJlRvEe.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
70,a,https://i.imgur.com/kRqzbOL.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
71,b,https://i.imgur.com/rEgCM1e.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
72,b,https://i.imgur.com/rWvBJAN.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
73,d,https://i.imgur.com/fxPhD1L.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
74,c,https://i.imgur.com/Ym6ptSQ.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
75,d,https://i.imgur.com/s8xcKRZ.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
76,b,https://i.imgur.com/jPn9mEp.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
78,c,https://i.imgur.com/0XEMWPA.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
79,d,https://i.imgur.com/02f3Z9h.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
80,d,https://i.imgur.com/EZOi2Eq.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
81,a,https://i.imgur.com/RSidunO.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
82,b,https://i.imgur.com/PeTreSR.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
83,d,https://i.imgur.com/XD8wsmA.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
84,d,https://i.imgur.com/5hIvoie.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
85,c,https://i.imgur.com/z89ZUQI.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
86,a,https://i.imgur.com/7nxvYGe.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
87,b,https://i.imgur.com/H6aPe0r.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
88,a,https://i.imgur.com/eRYCX9s.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
89,c,https://i.imgur.com/adEGbAV.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
90,c,https://i.imgur.com/yjlZcF0.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
91,c,https://i.imgur.com/sWyECSE.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
92,d,https://i.imgur.com/JJnzOZa.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
93,d,https://i.imgur.com/k3eZ9a3.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
95,b,https://i.imgur.com/1f7FdIR.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
96,d,https://i.imgur.com/jL5Mrpf.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
97,c,https://i.imgur.com/3Nb7UyR.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
98,b,https://i.imgur.com/NHUXtgJ.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
99,a,https://i.imgur.com/DC6Qulg.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
100,d,https://i.imgur.com/E3lBgfp.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
101,c,https://i.imgur.com/GiPC7wf.png,locopilot_diesel,A,B,C,D,9.1,locopilot_diesel,Hindi,MADE_EASY
