num,correct,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,3,https://i.imgur.com/a7ayRj8.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
2,2,https://i.imgur.com/u5wF3l4.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
3,2,https://i.imgur.com/VywMuNy.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
4,1,https://i.imgur.com/UH5KZ3X.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
5,2,https://i.imgur.com/Z2QGVKd.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
6,2,https://i.imgur.com/2sBa5s1.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
7,3,https://i.imgur.com/tD43bAe.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
8,2,https://i.imgur.com/F1gVDoJ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
9,4,https://i.imgur.com/hqF5aXn.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
10,4,https://i.imgur.com/FWFDWgf.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
11,3,https://i.imgur.com/EuXm3Kp.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
12,4,https://i.imgur.com/P8IIwAh.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
13,2,https://i.imgur.com/Ak0BnUK.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
14,1,https://i.imgur.com/jKrrQsH.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
15,1,https://i.imgur.com/0XarFPq.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
16,3,https://i.imgur.com/lvi8tyh.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
17,2,https://i.imgur.com/QaRGqzT.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
18,3,https://i.imgur.com/htPkicQ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
19,1,https://i.imgur.com/8MzDqUv.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
20,1,https://i.imgur.com/kMDh81v.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
21,4,https://i.imgur.com/iwoog4a.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
22,2,https://i.imgur.com/cU4Bl86.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
23,3,https://i.imgur.com/ZWlTRnd.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
24,1,https://i.imgur.com/1HFGtz7.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
25,3,https://i.imgur.com/xaEUs0S.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
26,1,https://i.imgur.com/ze7lo5u.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
27,3,https://i.imgur.com/8oNArHh.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
28,1,https://i.imgur.com/QTmtFrn.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
29,1,https://i.imgur.com/TUhCA1o.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
30,1,https://i.imgur.com/HFLrEYW.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
31,1,https://i.imgur.com/hM9Lc9V.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
32,2,https://i.imgur.com/gwJTe89.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
33,3,https://i.imgur.com/8zAIqPT.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
34,2,https://i.imgur.com/nI25aSQ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
35,3,https://i.imgur.com/2FyElMl.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
36,2,https://i.imgur.com/6JvrLAP.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
37,3,https://i.imgur.com/3JzLnrp.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
38,2,https://i.imgur.com/Wbt49QV.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
39,1,https://i.imgur.com/ljl6gJo.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
40,2,https://i.imgur.com/RkEOrOL.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
41,1,https://i.imgur.com/2Z7B2Nx.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
42,1,https://i.imgur.com/8gT1ZZV.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
43,3,https://i.imgur.com/c86X1gZ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
44,3,https://i.imgur.com/WdyGcCc.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
45,1,https://i.imgur.com/5rXGRgP.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
46,3,https://i.imgur.com/AwUiyiD.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
47,4,https://i.imgur.com/Upfqanf.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
48,1,https://i.imgur.com/tJhFilA.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
49,3,https://i.imgur.com/qCprtT7.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
50,1,https://i.imgur.com/gVSfMl7.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
51,1,https://i.imgur.com/jidstK3.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
52,2,https://i.imgur.com/TqYzHdW.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
53,4,https://i.imgur.com/ZP0QheM.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
54,2,https://i.imgur.com/ZnZLgBY.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
55,2,https://i.imgur.com/zWJXlQc.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
56,4,https://i.imgur.com/ZKllvMm.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
57,3,https://i.imgur.com/ZFGnVkW.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
58,1,https://i.imgur.com/tB1WL1B.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
59,4,https://i.imgur.com/2xCNh9b.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
60,1,https://i.imgur.com/7Dh7jOl.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
61,3,https://i.imgur.com/sgae5Jx.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
62,1,https://i.imgur.com/htFg14F.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
63,2,https://i.imgur.com/fxALMdS.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
64,1,https://i.imgur.com/1gno2j0.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
65,1,https://i.imgur.com/WCxodJe.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
66,2,https://i.imgur.com/GUwc1Pw.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
67,2,https://i.imgur.com/lwPVy1r.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
68,3,https://i.imgur.com/GDGVD4P.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
69,2,https://i.imgur.com/xFZyvki.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
70,3,https://i.imgur.com/aDwhhdb.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
71,2,https://i.imgur.com/cG6WoAW.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
72,4,https://i.imgur.com/LRwVDhl.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
73,1,https://i.imgur.com/wTqSrnE.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
74,1,https://i.imgur.com/Oq87bTK.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
75,1,https://i.imgur.com/vxafyKm.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
76,2,https://i.imgur.com/GhXfHrz.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
77,4,https://i.imgur.com/MBxbFAM.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
78,2,https://i.imgur.com/NMAw3Xi.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
79,4,https://i.imgur.com/aZUbImO.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
80,3,https://i.imgur.com/Fdy9vis.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
81,3,https://i.imgur.com/RTEA5i6.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
82,3,https://i.imgur.com/SJeTOzA.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
83,2,https://i.imgur.com/zoMgukP.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
84,2,https://i.imgur.com/0rSCLqJ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
85,1,https://i.imgur.com/40fzIdj.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
86,4,https://i.imgur.com/Be0vaSo.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
87,4,https://i.imgur.com/vsFs6St.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
88,4,https://i.imgur.com/Ne7DvN0.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
89,3,https://i.imgur.com/0Z0tXg2.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
90,1,https://i.imgur.com/IGBNArf.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
91,3,https://i.imgur.com/9sKxV6J.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
92,2,https://i.imgur.com/kH2822P.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
93,3,https://i.imgur.com/CbrEQqy.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
94,1,https://i.imgur.com/6BUcPN3.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
95,2,https://i.imgur.com/Y8C75AE.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
96,2,https://i.imgur.com/V209EfR.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
97,1,https://i.imgur.com/0ucOXtO.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
98,2,https://i.imgur.com/8ZRaJ5Q.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
99,2,https://i.imgur.com/K7NRiJ2.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
100,1,https://i.imgur.com/uWf11Cu.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
