,Answer,OptionA,OptionB,OptionC,OptionD,Questions,Category
0, c, xxzzx, xxaza, xzxzx, aazzx, निम्नलिखित प्रश्न में अक्षरों का कौन सा समूह खाली स्थानों पर क्रमवार रखने से दी गई अक्षर श्रृंखला को पूरा करेगा? _ yzaa _ y _ xy _ aazy _ ,17.1
1, c,108,113,114,138," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 19, 38, ?, 228, 684, 1368 ",17.1
2, b, H, I, J, F," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। A, C, E, G, ? ",17.1
3,d,172,191,219,232," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 2, 4, 13, 41, 106, ? ",17.1
4, c, QY, RX, SY, TZ,"एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। AG, LR, WC, HN, ? ",17.1
5, d,3,5,6,7," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 13, 16, 11, 18, 9, 20, ? ",17.1
6, b, acbddb, adbcbd, cabddc, ddcbbc,  निम्नलिखित प्रश्न में अक्षरों का कौन सा समूह खाली स्थानों पर क्रमवार रखने से दी गई अक्षर श्रृंखला को पूरा करेगा? a _ bc _ a _ bcdabc _ da _ cd _ ,17.1
7, d,9961,10441,11321,11401," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 1357, 3085, 5282, 8026, ? ",17.1
8, a, UWY, UYX, UVY, TWY," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। CEG, IKM, OQS, ? ",17.1
9, b,136,176,172,216," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 7, 19, 42, 87, ? ",17.1
10, a, NS, OS, OU, SN," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। KV, LU, MT, ? ",17.1
11, b,17,25,28,31,"निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 3, 4, 5, 4, 9, 10, 6, 16, 15, 9, 25, 20, 13, 36, ? ",17.1
12, b, molnon, nolmoo, nomloo, noolmm, निम्नलिखित प्रश्न में अक्षरों का कौन सा समूह खाली स्थानों पर क्रमवार रखने से दी गई अक्षर श्रृंखला को पूरा करेगा? l m _ o _ n m _ l _ n _ _ n m l ,17.1
13, a,229,242,257,409," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 21, 25, 52, 68, 193, ? ",17.1
14, b, HO, HN, NH, OH," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। BT, DR, FP, ? ",17.1
15, a,216,361,625,441," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 3, 8, 5, 27, 8, 64, 12, 125, 17, ? ",17.1
16, b, H30, H31, I29, I31," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। C11, V17, O23, ? ",17.1
17, d,166,172,184,187," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 19, 26, 45, 71, 116, ? ",17.1
18, b, KS, JT, KT, JS," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। DK, FN, HQ, ? ",17.1
19, c,131,247,359,419," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 2, 5, 17, 71, ? ",17.1
20, c, eghhfe, ghhhh, hegefh, hgefhe, निम्नलिखित प्रश्न में अक्षरों का कौन सा समूह खाली स्थानों पर क्रमवार रखने से दी गई अक्षर श्रृंखला को पूरा करेगा? efg _ _ eff _ ghhe _ eff _ gggh _ h ,17.1
21, a,229,239,259,269," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 5, 13, 40, 104, ? ",17.1
22, c, CX216, XB216, XC216, YB343," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। FK27, LQ64, RW125, ? ",17.1
23, a,10,11,12,15," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 19, 11, 13, 16, 15, 17, 13, 19, 21, ? ",17.1
24, b, QRS, PRT, PRU, QRV," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। ACE, FHJ, KMO, ? ",17.1
25, d,8116,8216,9016,9216," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 9, 18, 72, 576, ? ",17.1
26, b, P, Q, R, O," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। A, E, I, M, ? ",17.1
27, c,27,28,29,31," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 1, 3, 6, 11, 18, ? ",17.1
28, a, M, L, O, J," एक अनुक्रम दिया गया है, जिसमें से एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए, जो अनुक्रम को पूरा करे। Q, P, O, N, ? ",17.1
29, c,97,115,102,124," निम्नलिखित प्रश्न में दिए गए विकल्पों में से लुप्त अंक ज्ञात कीजिए। 6, 9 , 15, 24, 39, 63, ? ",17.1
30, a, LKJ, QRO, SUM, XZY," निम्नलिखित प्रश्न में एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करे ? DCB, HGF, ? , PON ",17.1
31, a,49,56,21,94," निम्नलिखित प्रश्न में एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करे ? 4, 9, 16, 25, 36, ? ",17.1
32, d, OLPA, KLMA, LLMA, KLLA," इस प्रश्न में एक अनुक्रम दिया है, जिसमे एक पद लुप्त है। दिए गए विकल्पों में से सही विकल्प चुनिए जो अनुक्रम को पूरा करे।   ELFA, GLHA, ILJA, ? , MLNA ",17.1
33, d,49,51,52,53," इस प्रश्न में एक अनुक्रम दिया है, जिसमे एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा कीजिए।   5, 11, 17, 25, 33, 43, ? ",17.1
34, c, jkt, ikp, jks, klt," निम्नलिखित प्रश्न में एक अनुक्रम दिया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करता है ? dem, fgo, hiq, _______ ",17.1
35, b,354,343,392,245," निम्नलिखित विकिल्पों में से वह संख्या चुनिए जो प्रश्न में दी गई सीरिज को पूरा करेगी ? 1,8,27,64,125,216,________ ",17.1
36, c, CMN, VJI, VIJ, IJT," नीचे एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिये। SCD, TEF, UGH, ?, WKL ",17.1
37, d ,455,465,565,568," नीचे एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिये। 124, 235, 346, 457, ? ",17.1
38, d, ttssrr, tsrtsr, strtrs, tstttr, अक्षरों का कौन-सा समूह खाली स्थानों पर क्रमवार रखने से दी गई अक्षर श्रृंखला को पूरा करती है ?   _sr_tr_srs_r_srst_ ,17.1
39, a,172,258,129,430," श्रृंखला में लुप्त संख्या ज्ञात कीजिए।  43, 172, 86, 344, ? ",17.1
40, c, BFJ, ADG, FJO, PSX,"  दिए गए विकल्‍पों में से वह सही विकल्‍प चुनिये जो अनुक्रम को पूरा करे। BFK, KOT, UYD,? ",17.1
41, c,565,112,27,8," दी गई श्रेणी में से लुप्‍त पद ज्ञात कीजिये । 2, 3, 8, ?, 112, 565 ",17.1
42, d,106,100,108,102," नीचे एक श्रृंखला दी गई है, जिसमें एक पद लुप्‍त है। दिए गए विकल्‍पों में से वह सही विकल्‍प चुनिए जो अनुक्रम को पूरा करे।  8, 15, 28, 53, ? ",17.1
43, b, NIL, NIK, NLK, NJL," नीचे एक श्रृंखला दी गई है, जिसमें एक पद लुप्‍त है। दिए गए विकल्‍पों में से वह सही विकल्‍प चुनिए जो अनुक्रम को पूरा करे।  WFB, TGD, QHG, ? ",17.1
44, c, PRT, VUT, ONM, ZYX," निम्नलिखित प्रश्न में एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करे ? CBA, FED, IHG, LKJ, ? ",17.1
45, b,30420,30240,31240,32240," निम्नलिखित प्रश्न में एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करे ? 6, 12, 36, 144, 720, 4320, ? ",17.1
46, b, QUR, RQR, SUR, RUS,"  इस प्रश्न में एक श्रंखला दी गई है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो श्रंखला को पूरा करे। JAZ, LEX, NIV, PMT, ? ",17.1
47, c,39,52,67,84,"  इस प्रश्न में एक श्रंखला दी गई है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो श्रंखला को पूरा करे। 19, 28, 39, 52, ?, 84 ",17.1
48, b, KOS, NRV, NPS, NRU,"  सही विकल्प चुनकर सीरीज में प्रश्न चिन्ह्र के स्थान पर लिखिए ।  DHL, PTX, BFJ, ? ",17.1
49, d,33,36,34,29," सीरीज में गलत संख्या छांटिए।  28, 33, 31, 36, 34, 29 ",17.1
50, d, ddacdc, daadca, dadaac, ddaacc,  अक्षरों का कौन-सा समूह खाली स्थानों पर क्रमवार रखने से दी गई अक्षर श्रृंखला को पूरा करता है ? a_ ca_c_dc_d_ad_ ,17.1
51, c,6,5,4,3,"  श्रृंखला में अगला नम्बर क्या आयेगा ? 1, 5, 2, 6, 3, 7, ? ",17.1
52, b, TUV, RSD, DOA, BRD," दिये गये अनुक्रम में एक पद लुप्‍त है। दिए गए विकल्‍पों में से वह सही विकल्‍प चुनिए जो अनुक्रम को पूरा करे। LMA, NOB, PQC, ? , STE ",17.1
53, c,59,63,61,65," दिये गये अनुक्रम में एक पद लुप्‍त है। दिए गए विकल्‍पों में से वह सही विकल्‍प चुनिए जो अनुक्रम को पूरा करे। 41, 43, 47, 53, ? ",17.1
