,correct,QuestionLink,category
1,b,https://i.imgur.com/TS4zwFK.png,28.1
2,b,https://i.imgur.com/XKtaH1Z.png,28.1
3,e,https://i.imgur.com/Lf7cAHY.png,28.1
4,a,https://i.imgur.com/wTWyhQD.png,28.1
5,b,https://i.imgur.com/62zR7Em.png,28.1
6,c,https://i.imgur.com/2BDMas8.png,28.1
7,b,https://i.imgur.com/GtuNwZC.png,28.1
8,a,https://i.imgur.com/ACYnnXH.png,28.1
9,e,https://i.imgur.com/IushNDA.png,28.1
10,e,https://i.imgur.com/XG8SyfD.png,28.1
12,a,https://i.imgur.com/am979Ae.png,28.1
13,d,https://i.imgur.com/DA0BvlV.png,28.1
14,d,https://i.imgur.com/ga8QNfe.png,28.1
16,d,https://i.imgur.com/DSZS05b.png,28.1
17,d,https://i.imgur.com/rejlzEO.png,28.1
18,c,https://i.imgur.com/ecNfRtq.png,28.1
20,d,https://i.imgur.com/uXXTUAv.png,28.1
21,c,https://i.imgur.com/Y5r8Bxm.png,28.1
22,b,https://i.imgur.com/5YCFxeL.png,28.1
23,b,https://i.imgur.com/tQAJhrq.png,28.1
24,d,https://i.imgur.com/FV6q2OD.png,28.1
26,a,https://i.imgur.com/GWzG4ga.png,28.1
27,b,https://i.imgur.com/w27dhwn.png,28.1
28,d,https://i.imgur.com/ChR0S0Q.png,28.1
29,b,https://i.imgur.com/MYPf2xf.png,28.1
30,a,https://i.imgur.com/iUg72nC.png,28.1
31,b,https://i.imgur.com/ZwCSQyL.png,28.1
32,d,https://i.imgur.com/UYj8rv8.png,28.1
33,a,https://i.imgur.com/ZaQRL2J.png,28.1
34,d,https://i.imgur.com/M0tnHqh.png,28.1
35,a,https://i.imgur.com/uGHUjRj.png,28.1
1,b,https://i.imgur.com/5b1SRR5.png,28.1
2,a,https://i.imgur.com/P5HXYTg.png,28.1
3,a,https://i.imgur.com/sIqimVM.png,28.1
4,b,https://i.imgur.com/rfoHQur.png,28.1
5,c,https://i.imgur.com/z8HomWg.png,28.1
6,b,https://i.imgur.com/jXiPhU5.png,28.1
7,c,https://i.imgur.com/hU8COmF.png,28.1
8,c,https://i.imgur.com/jeHiP97.png,28.1
9,d,https://i.imgur.com/zb2h4NK.png,28.1
10,a,https://i.imgur.com/l6VEEEu.png,28.1
11,d,https://i.imgur.com/sJvhGOW.png,28.1
12,c,https://i.imgur.com/Hc5IJA6.png,28.1
13,c,https://i.imgur.com/oD2GXKJ.png,28.1
14,a,https://i.imgur.com/ePITY8k.png,28.1
15,c,https://i.imgur.com/5DSIR24.png,28.1
16,d,https://i.imgur.com/PZHxOn7.png,28.1
17,b,https://i.imgur.com/unkye35.png,28.1
1,d,https://i.imgur.com/db7QU3m.png,28.1
2,d,https://i.imgur.com/buGV8Ve.png,28.1
3,c,https://i.imgur.com/P5uF7J2.png,28.1
4,c,https://i.imgur.com/evKhk1C.png,28.1
5,a,https://i.imgur.com/n2fYChd.png,28.1
6,a,https://i.imgur.com/vPHuVJg.png,28.1
7,a,https://i.imgur.com/BWXUIXs.png,28.1
8,b,https://i.imgur.com/9WWM0hH.png,28.1
9,c,https://i.imgur.com/y8w1TbJ.png,28.1
10,d,https://i.imgur.com/NzL1Ahg.png,28.1
11,d,https://i.imgur.com/Hblb50q.png,28.1
12,d,https://i.imgur.com/YTJi4CR.png,28.1
13,b,https://i.imgur.com/rUBQolx.png,28.1
14,b,https://i.imgur.com/1Gae6yI.png,28.1
15,c,https://i.imgur.com/6zWeRzu.png,28.1
16,a,https://i.imgur.com/HLwOgja.png,28.1
17,a,https://i.imgur.com/gbY2MrY.png,28.1
19,a,https://i.imgur.com/mUpkqrE.png,28.1
20,c,https://i.imgur.com/t145CIm.png,28.1
21,b,https://i.imgur.com/PmIVN6Y.png,28.1
22,d,https://i.imgur.com/JZnoxxQ.png,28.1
23,c,https://i.imgur.com/mc5CD0n.png,28.1
24,b,https://i.imgur.com/Z4uTMUm.png,28.1
25,d,https://i.imgur.com/ioShVD6.png,28.1
26,d,https://i.imgur.com/NsVxoMu.png,28.1
27,b,https://i.imgur.com/a0olHCF.png,28.1
29,b,https://i.imgur.com/QR5bn4V.png,28.1
30,b,https://i.imgur.com/2ohI5z5.png,28.1
31,d,https://i.imgur.com/PJD6zwA.png,28.1
33,c,https://i.imgur.com/4ZPs0Ee.png,28.1
34,b,https://i.imgur.com/aSkH7iR.png,28.1
35,c,https://i.imgur.com/iqunQEj.png,28.1
36,c,https://i.imgur.com/7Gzy9qg.png,28.1
38,c,https://i.imgur.com/QBs8SQk.png,28.1
39,c,https://i.imgur.com/tt9tpOA.png,28.1
40,a,https://i.imgur.com/J4WyVgk.png,28.1
41,d,https://i.imgur.com/17ShpGW.png,28.1
42,a,https://i.imgur.com/UQ4SXft.png,28.1
44,b,https://i.imgur.com/Vp3j9bZ.png,28.1
45,a,https://i.imgur.com/plXLnwD.png,28.1
46,a,https://i.imgur.com/PIFzXux.png,28.1
47,b,https://i.imgur.com/IRP6cGe.png,28.1
49,c,https://i.imgur.com/8ZkuTsm.png,28.1
50,b,https://i.imgur.com/l9x8ZgC.png,28.1
51,a,https://i.imgur.com/cdt1Pee.png,28.1
52,b,https://i.imgur.com/PwwWoyo.png,28.1
53,b,https://i.imgur.com/G76KTyC.png,28.1
54,a,https://i.imgur.com/h9WVsWW.png,28.1
55,d,https://i.imgur.com/AlvE7H8.png,28.1
56,b,https://i.imgur.com/4Azh0xc.png,28.1
57,c,https://i.imgur.com/bpawLvq.png,28.1
58,d,https://i.imgur.com/9obxedM.png,28.1
59,a,https://i.imgur.com/94KJZHD.png,28.1
60,a,https://i.imgur.com/UTvMaIx.png,28.1
61,c,https://i.imgur.com/nLitM78.png,28.1
62,d,https://i.imgur.com/UNUxxm1.png,28.1
64,a,https://i.imgur.com/gVj7yBx.png,28.1
65,c,https://i.imgur.com/A4wjNB8.png,28.1
66,c,https://i.imgur.com/ZB81rXp.png,28.1
67,b,https://i.imgur.com/SoTZT4K.png,28.1
69,c,https://i.imgur.com/e6M0jE5.png,28.1
70,c,https://i.imgur.com/ktF7yG6.png,28.1
72,b,https://i.imgur.com/BrDY6OZ.png,28.1
73,d,https://i.imgur.com/U841m1K.png,28.1
74,c,https://i.imgur.com/jaBJVbt.png,28.1
76,b,https://i.imgur.com/cqyjJQR.png,28.1
77,a,https://i.imgur.com/O04JzCF.png,28.1
78,b,https://i.imgur.com/7WLpHrq.png,28.1
79,b,https://i.imgur.com/sI83aZN.png,28.1
80,a,https://i.imgur.com/OBzA0UZ.png,28.1
81,b,https://i.imgur.com/fa4S9rD.png,28.1
82,a,https://i.imgur.com/as4TdTN.png,28.1
83,d,https://i.imgur.com/mWLWTND.png,28.1
84,a,https://i.imgur.com/9Q5K7ho.png,28.1
85,c,https://i.imgur.com/w1VYtNm.png,28.1
86,d,https://i.imgur.com/gwMRZko.png,28.1
87,d,https://i.imgur.com/coxTeYx.png,28.1
88,b,https://i.imgur.com/5djBZy6.png,28.1
89,a,https://i.imgur.com/VfV8g6P.png,28.1
90,c,https://i.imgur.com/hvKftJZ.png,28.1
92,d,https://i.imgur.com/Z7Xvtsl.png,28.1
93,d,https://i.imgur.com/UKqrylj.png,28.1
94,a,https://i.imgur.com/97VW8Qp.png,28.1
95,c,https://i.imgur.com/rfAte6k.png,28.1
97,b,https://i.imgur.com/otrEINh.png,28.1
98,a,https://i.imgur.com/T75qd6l.png,28.1
99,c,https://i.imgur.com/tJUctYH.png,28.1
101,b,https://i.imgur.com/es2op60.png,28.1
102,b,https://i.imgur.com/u9CdCws.png,28.1
103,b,https://i.imgur.com/HWZHNy0.png,28.1
104,d,https://i.imgur.com/IUFTAoj.png,28.1
105,a,https://i.imgur.com/c01x8TO.png,28.1
106,a,https://i.imgur.com/Y82z2vz.png,28.1
107,c,https://i.imgur.com/mmnpjrQ.png,28.1
108,a,https://i.imgur.com/wLa32WG.png,28.1
109,b,https://i.imgur.com/MH0Q8Ga.png,28.1
110,b,https://i.imgur.com/2lE2x49.png,28.1
111,b,https://i.imgur.com/brgNlnx.png,28.1
112,b,https://i.imgur.com/T6cBsSi.png,28.1
113,d,https://i.imgur.com/jm4AIYe.png,28.1
115,b,https://i.imgur.com/ZOJJSzS.png,28.1
116,c,https://i.imgur.com/DXyLhRi.png,28.1
117,a,https://i.imgur.com/fV9va5D.png,28.1
118,c,https://i.imgur.com/BMo0fFh.png,28.1
120,b,https://i.imgur.com/HTI6Olc.png,28.1
121,b,https://i.imgur.com/wfOH0xx.png,28.1
122,a,https://i.imgur.com/7SnCHOz.png,28.1
123,b,https://i.imgur.com/dLqnu3Q.png,28.1
125,a,https://i.imgur.com/PrmHpYY.png,28.1
126,c,https://i.imgur.com/bUkOFDP.png,28.1
127,c,https://i.imgur.com/cv0Pk2i.png,28.1
128,b,https://i.imgur.com/q4Q2kxf.png,28.1
130,a,https://i.imgur.com/a8m2Qh0.png,28.1
131,d,https://i.imgur.com/uUNim97.png,28.1
132,b,https://i.imgur.com/xVAZbiZ.png,28.1
133,c,https://i.imgur.com/Gpxj5Ky.png,28.1
134,b,https://i.imgur.com/y7LwLRA.png,28.1
136,c,https://i.imgur.com/xPBQ5CP.png,28.1
137,c,https://i.imgur.com/DOMZb0M.png,28.1
138,d,https://i.imgur.com/CMlICTC.png,28.1
139,a,https://i.imgur.com/vXnE4ZN.png,28.1
140,b,https://i.imgur.com/WHrJFin.png,28.1
141,c,https://i.imgur.com/moAF4dw.png,28.1
142,d,https://i.imgur.com/Jnk6DvR.png,28.1
143,a,https://i.imgur.com/Lzemvr3.png,28.1
144,b,https://i.imgur.com/LAGdqiJ.png,28.1
146,c,https://i.imgur.com/iY9YaVL.png,28.1
147,b,https://i.imgur.com/4BDB1X1.png,28.1
148,c,https://i.imgur.com/9lI2Bqz.png,28.1
149,a,https://i.imgur.com/vy04kjX.png,28.1
150,d,https://i.imgur.com/F71hgIF.png,28.1
152,d,https://i.imgur.com/bEjdWRz.png,28.1
153,d,https://i.imgur.com/pyuKALV.png,28.1
155,b,https://i.imgur.com/rmNTHE7.png,28.1
156,c,https://i.imgur.com/W1T5HTG.png,28.1
157,a,https://i.imgur.com/0658myE.png,28.1
158,d,https://i.imgur.com/fh84bLZ.png,28.1
159,c,https://i.imgur.com/97CzrfX.png,28.1
160,b,https://i.imgur.com/gJ7eCfa.png,28.1
161,d,https://i.imgur.com/FccQbWW.png,28.1
163,d,https://i.imgur.com/SfyyXBs.png,28.1
164,a,https://i.imgur.com/ck8w2ml.png,28.1
165,b,https://i.imgur.com/YwB58HW.png,28.1
167,d,https://i.imgur.com/GpcXDvM.png,28.1
168,d,https://i.imgur.com/kyWMbha.png,28.1
169,c,https://i.imgur.com/8xHyebt.png,28.1
170,c,https://i.imgur.com/HWjUT1Y.png,28.1
