,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,d,https://i.imgur.com/hylBbml.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/daRKay2.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,d,https://i.imgur.com/KhZXKhk.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,c,https://i.imgur.com/s4y3Su0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/jzemwiq.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/bchgD4H.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,d,https://i.imgur.com/VcwFL9x.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/LmnaiYv.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://i.imgur.com/PkLIiK8.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,c,https://i.imgur.com/me6SMoH.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/M3msWoD.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,c,https://i.imgur.com/RuIKcAT.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://i.imgur.com/S8Ywhwo.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,c,https://i.imgur.com/sqbh2LW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/8vTtEBb.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,a,https://i.imgur.com/KCRwIC8.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/VSDRDDc.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/OgI7zRf.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/HjieZmG.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/hWnl8sL.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/Yo9FMRp.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,a,https://i.imgur.com/4SHOsGo.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/oA09T6n.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/QAAm6g0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/UxQFsPp.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,b,https://i.imgur.com/4iI2Owv.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,a,https://i.imgur.com/Li7nPbz.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/lnIum6K.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/yk2pwBv.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,c,https://i.imgur.com/w0N1nbs.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,c,https://i.imgur.com/yK7Byi7.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,c,https://i.imgur.com/eZSoK0w.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,d,https://i.imgur.com/DhSrbb2.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,b,https://i.imgur.com/PyQUZEB.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,a,https://i.imgur.com/G0bb4rW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,c,https://i.imgur.com/Pzel4up.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/u2uHivJ.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,c,https://i.imgur.com/gnzRA1A.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,a,https://i.imgur.com/PeT5DaT.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,b,https://i.imgur.com/rYpPInw.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,d,https://i.imgur.com/jDxRre3.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,d,https://i.imgur.com/pf94O1U.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,c,https://i.imgur.com/p1kNIoT.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,b,https://i.imgur.com/aist6HY.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,c,https://i.imgur.com/owxRtLi.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,c,https://i.imgur.com/c6xUuVW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,b,https://i.imgur.com/FXYk8UF.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,a,https://i.imgur.com/92Nx0n2.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,c,https://i.imgur.com/WcCRlZH.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,a,https://i.imgur.com/RtlGY2l.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,c,https://i.imgur.com/Wu8mx4S.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,d,https://i.imgur.com/643dKbz.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,d,https://i.imgur.com/bb43xv0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,b,https://i.imgur.com/SGr6J0z.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,a,https://i.imgur.com/AyBjDPM.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,b,https://i.imgur.com/TsGPAvI.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,b,https://i.imgur.com/qLlEvCW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,c,https://i.imgur.com/4s7fjEZ.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,a,https://i.imgur.com/Zms1OH3.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,d,https://i.imgur.com/wZmtsY3.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,a,https://i.imgur.com/X9lr5fV.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,a,https://i.imgur.com/IcEpwqW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,b,https://i.imgur.com/sgaLBPt.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,c,https://i.imgur.com/af28Cxc.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
68,a,https://i.imgur.com/VigmGhh.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,a,https://i.imgur.com/aDYoTLk.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,d,https://i.imgur.com/x5PnVl1.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,c,https://i.imgur.com/Rc9PqAh.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,b,https://i.imgur.com/Z7PEK1k.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,d,https://i.imgur.com/yAJSRC3.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,d,https://i.imgur.com/aLes8ZQ.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,d,https://i.imgur.com/sIxzIOX.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,b,https://i.imgur.com/8VuQwcM.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,b,https://i.imgur.com/rmgM6n1.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,d,https://i.imgur.com/ggdDGNg.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,c,https://i.imgur.com/jbDgcBI.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,b,https://i.imgur.com/fom73eq.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,b,https://i.imgur.com/JUoQhIG.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,a,https://i.imgur.com/iIiwHM0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,d,https://i.imgur.com/JeoBxIs.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,a,https://i.imgur.com/iKVFyZY.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,a,https://i.imgur.com/5igijFe.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,b,https://i.imgur.com/qImFHIQ.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
91,b,https://i.imgur.com/qjGpIvg.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,c,https://i.imgur.com/x4Vc6XG.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,b,https://i.imgur.com/p2bmiMH.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
96,c,https://i.imgur.com/qZjO6pp.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,d,https://i.imgur.com/Hn1BEAU.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,a,https://i.imgur.com/7dkWQFq.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
100,a,https://i.imgur.com/b0kFgq1.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
101,d,https://i.imgur.com/szKD4GO.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
102,b,https://i.imgur.com/mmcKvh2.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,b,https://i.imgur.com/PtxevMC.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,c,https://i.imgur.com/cTCOJxd.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
105,a,https://i.imgur.com/HfwbvGu.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
107,a,https://i.imgur.com/2MoiYGg.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
109,b,https://i.imgur.com/Z8DcOW3.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
110,c,https://i.imgur.com/hcdkxwE.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
111,b,https://i.imgur.com/da0bJ3t.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
113,b,https://i.imgur.com/5ohVnh7.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
114,c,https://i.imgur.com/HH5Athi.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
116,c,https://i.imgur.com/z3mDJ0u.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
117,a,https://i.imgur.com/cGBtgtb.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
118,b,https://i.imgur.com/567iAXx.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
120,c,https://i.imgur.com/UrFVBst.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
121,a,https://i.imgur.com/H3SNW2t.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
123,b,https://i.imgur.com/Eu8BLmW.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
124,c,https://i.imgur.com/AUMwKV7.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
125,c,https://i.imgur.com/nY165Tw.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
126,a,https://i.imgur.com/4e9Vfp4.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
127,d,https://i.imgur.com/HV0brFF.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
129,d,https://i.imgur.com/69wgX79.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
130,a,https://i.imgur.com/DMAsixM.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
132,b,https://i.imgur.com/fAqOLFn.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
133,a,https://i.imgur.com/wqV1s3V.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
135,d,https://i.imgur.com/nGFGqQk.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
136,b,https://i.imgur.com/kYSKetC.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
138,d,https://i.imgur.com/w8rLJdE.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
139,a,https://i.imgur.com/PiIPc6g.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
141,d,https://i.imgur.com/3elYwFf.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
142,c,https://i.imgur.com/kIc92E0.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
144,b,https://i.imgur.com/jeDRvIK.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
145,a,https://i.imgur.com/O2vbMNG.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
147,d,https://i.imgur.com/DDdNWop.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
148,a,https://i.imgur.com/08ar636.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
150,a,https://i.imgur.com/QxV1UUK.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
152,c,https://i.imgur.com/tDDu7Jb.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
153,c,https://i.imgur.com/MY7H4Va.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
155,a,https://i.imgur.com/qjUYGHV.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
156,d,https://i.imgur.com/ODndIhl.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
157,b,https://i.imgur.com/CJZpoDo.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
158,c,https://i.imgur.com/3UKCEM1.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
159,d,https://i.imgur.com/1ZynGV5.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
160,d,https://i.imgur.com/cmePMHE.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
162,d,https://i.imgur.com/83FapzH.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
163,d,https://i.imgur.com/MRs3K3D.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
165,a,https://i.imgur.com/GBtEQSv.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
167,a,https://i.imgur.com/AgNeyIc.png,https://i.imgur.com/qQWaQW2.png,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
168,b,https://i.imgur.com/OUQEqir.png,https://i.imgur.com/qQWaQW2.png,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
169,d,https://i.imgur.com/uMuffAh.png,https://i.imgur.com/LPAeKL9.png,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
170,b,https://i.imgur.com/Prz55ge.png,https://i.imgur.com/LPAeKL9.png,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
171,d,https://i.imgur.com/kxnMpVG.png,https://i.imgur.com/YadDvOV.png,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
172,a,https://i.imgur.com/HDehIit.png,https://i.imgur.com/YadDvOV.png,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
174,c,https://i.imgur.com/o95zxiF.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
176,d,https://i.imgur.com/uO9rOSx.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
178,a,https://i.imgur.com/CbrtIP7.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
179,b,https://i.imgur.com/7sBMZ6v.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
181,b,https://i.imgur.com/t7n6Fx1.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
182,d,https://i.imgur.com/stTCHZ7.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
184,d,https://i.imgur.com/4nJPDpC.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
185,c,https://i.imgur.com/NWa1og3.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
187,a,https://i.imgur.com/HAYzXTn.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
188,b,https://i.imgur.com/wrKo1aH.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
189,a,https://i.imgur.com/vOT0xxa.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
190,c,https://i.imgur.com/S3Gi1yL.png,,9.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
