,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,d,https://i.imgur.com/qHIZpuK.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,a,https://i.imgur.com/DGWvhOc.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,a,https://i.imgur.com/tdbybLG.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,d,https://i.imgur.com/2mf9eay.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,a,https://i.imgur.com/uJ4w7zC.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,d,https://i.imgur.com/cl7oqF3.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,c,https://i.imgur.com/jb0Pd1Y.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,c,https://i.imgur.com/jCe30NW.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,c,https://i.imgur.com/Au1sE3b.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,b,https://i.imgur.com/esCBchW.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,b,https://i.imgur.com/DhGFk45.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,a,https://i.imgur.com/19jHC2j.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,c,https://i.imgur.com/XMrNc2q.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,a,https://i.imgur.com/JbJ1I5o.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,b,https://i.imgur.com/RBmkASH.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,d,https://i.imgur.com/TgkZbX2.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,c,https://i.imgur.com/MkzhhY5.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,b,https://i.imgur.com/OhSIJST.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,d,https://i.imgur.com/71aHxvb.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,b,https://i.imgur.com/Spjkvxp.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,b,https://i.imgur.com/nfe0iBL.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,d,https://i.imgur.com/n0dVihU.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,d,https://i.imgur.com/gkzki2I.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,a,https://i.imgur.com/dQ3L7jE.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,c,https://i.imgur.com/tqBjM9r.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,a,https://i.imgur.com/T48XzNv.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,a,https://i.imgur.com/fYkWIHY.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,d,https://i.imgur.com/C2sBpEk.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,c,https://i.imgur.com/Y8zvvDs.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,d,https://i.imgur.com/GDY3tTN.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,b,https://i.imgur.com/4bPBWeI.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
35,d,https://i.imgur.com/cWdbo8f.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,b,https://i.imgur.com/dWszgn9.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,b,https://i.imgur.com/3svh2My.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
38,b,https://i.imgur.com/1Yi0X6j.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,d,https://i.imgur.com/DLCxsjL.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
40,d,https://i.imgur.com/10F40Mc.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
42,a,https://i.imgur.com/aTyAviw.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
43,b,https://i.imgur.com/uKeWcOg.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
44,a,https://i.imgur.com/iqw5MGe.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,b,https://i.imgur.com/2fAwQ8W.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,c,https://i.imgur.com/A8K8smG.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,a,https://i.imgur.com/Qiadnim.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,d,https://i.imgur.com/ImTKpMd.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,a,https://i.imgur.com/qf1Ef2Z.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
51,c,https://i.imgur.com/iHDI0nX.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,b,https://i.imgur.com/848YYdf.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,a,https://i.imgur.com/cpr7DVv.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,a,https://i.imgur.com/CGTPZR6.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
56,a,https://i.imgur.com/y1TkmLT.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
57,d,https://i.imgur.com/d1dsjwA.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
58,b,https://i.imgur.com/xBODg4Z.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
59,b,https://i.imgur.com/HskEizI.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
61,b,https://i.imgur.com/V4BT0Gk.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
62,b,https://i.imgur.com/CSTGWqp.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
63,b,https://i.imgur.com/t4yHUEI.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
65,d,https://i.imgur.com/WQtqOXU.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
66,b,https://i.imgur.com/Z3DwZTD.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
67,b,https://i.imgur.com/9WbwQV6.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
69,d,https://i.imgur.com/BtzqdgB.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,c
70,d,https://i.imgur.com/QqRDX28.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
71,a,https://i.imgur.com/vgQhavW.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
73,a,https://i.imgur.com/Vi9zjWP.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
74,b,https://i.imgur.com/xN9qkdI.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
75,c,https://i.imgur.com/8twk333.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
76,d,https://i.imgur.com/h5hHzSr.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
77,b,https://i.imgur.com/kDk5gH0.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
78,c,https://i.imgur.com/VLAnvQi.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
79,c,https://i.imgur.com/lgpwchr.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
81,d,https://i.imgur.com/Jf3nBAn.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
82,b,https://i.imgur.com/zpEph1d.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
84,a,https://i.imgur.com/ChK7Yuy.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
85,c,https://i.imgur.com/hrwp1n8.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
86,a,https://i.imgur.com/jjghkY5.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
87,b,https://i.imgur.com/yKRCtFW.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
88,b,https://i.imgur.com/7RMRbvr.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
89,b,https://i.imgur.com/xD1Iq5l.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
90,c,https://i.imgur.com/ofmTJoi.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
91,c,https://i.imgur.com/fOpvmqa.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
92,a,https://i.imgur.com/4ZZpD8H.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
93,b,https://i.imgur.com/6Mwsrij.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
94,c,https://i.imgur.com/gtebeSs.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
95,c,https://i.imgur.com/hMiiYDs.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
96,d,https://i.imgur.com/O8SzP4z.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
97,c,https://i.imgur.com/z0wlGlU.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
98,c,https://i.imgur.com/9Gqpy4I.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
100,a,https://i.imgur.com/2KMIsZq.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
101,b,https://i.imgur.com/kDV69gB.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
102,b,https://i.imgur.com/r3E6PYu.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
103,c,https://i.imgur.com/lAJBEne.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
104,b,https://i.imgur.com/jKSqNiu.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
106,c,https://i.imgur.com/dPdinSt.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
107,b,https://i.imgur.com/g7GCaOR.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
110,b,https://i.imgur.com/66B1CF4.png,1.3,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
